adjective	noun	log_adjective_frequency	log_noun_frequency	log_phrase_frequency	mean_imageability_rating	mean_compositionality_rating
effective	treatment	10.22	10.61	2.32	10.38	10.48
impossible	dream	10.01	10.55	2.32	10	10
open	relationship	10.92	11.8	2.32	10.52	9.62
poor	credit	10.74	11.21	2.32	10.17	9.52
sad	truth	10.36	11.67	2.32	10.41	9.97
serious	nature	11.94	10.33	2.32	10.79	9.83
similar	incident	10.61	10.19	2.32	10.1	10.17
fair	deal	10.46	11.95	2.58	10.17	10.18
funny	feeling	11.21	10.23	2.58	10.21	8.86
heavy	heart	10.18	11.92	2.58	10.31	8.76
major	bank	11.89	10.95	2.58	10.04	9.44
physical	violence	10.31	11.34	2.58	10.59	10.38
british	actor	10.55	10.65	2.81	10.31	10.41
necessary	step	10.15	10.39	2.81	10.21	10
normal	behavior	10.76	10.54	2.81	10.31	10.14
positive	test	10.75	10.65	2.81	10.03	9.41
safe	space	10.96	11.08	2.81	10.15	10.21
successful	mission	10.71	10.92	2.81	10.15	10.31
violent	weather	10.01	11.16	2.81	10.55	10.1
actual	cost	10.16	10.77	3	10.34	9.59
available	flight	10.64	10.59	3	10.38	10.31
easy	solution	11.05	10.26	3	10.38	10.34
fresh	blood	10.68	11.29	3	10.31	9.55
iraqi	freedom	10.97	10.6	3	10	8.9
quick	action	10.9	11.29	3	10.07	10.07
senior	officer	11.06	10.81	3	10.24	9.48
white	neighborhood	11.69	10.34	3	10.41	9.34
international	agreement	11.62	10.35	3.17	10	10.07
full	picture	11.59	11.64	3.32	10.55	8.89
likely	suspect	10.8	10.05	3.32	10.38	9.69
lucky	break	10.17	11.64	3.32	10.07	9.21
strong	opinion	11.85	10.98	3.32	10.34	9.97
terrible	accident	10.87	10.6	3.32	10.59	10.07
clear	winner	11.55	10.08	3.46	10.14	9.17
current	governor	10.82	11.81	3.46	10.38	10.24
fine	art	11.35	10.01	3.46	10.11	8.93
military	background	11.84	10.04	3.46	10.24	9.38
super	model	10.41	10.29	3.46	10.69	8.72
emotional	response	10.35	11	3.58	10.41	10.21
horrible	mistake	10.13	10.67	3.58	10.52	10.31
sexual	act	10.56	10.9	3.58	10.35	10.55
short	film	10.98	11.5	3.58	10.48	10.31
commercial	success	10.38	10.79	3.7	10.17	9.07
global	recession	10.89	10.27	3.7	10.14	10.18
healthy	weight	10.35	10.61	3.81	10.41	9.97
guilty	pleasure	11.19	10.36	4	10.31	9.45
innocent	victim	10.04	10.63	4.17	10.24	10.34
extraordinary	amount	10.19	11.3	4.39	10.07	10.03
personal	choice	11.55	11.16	4.39	10.24	10.1
independent	investigation	10.15	11.74	4.58	9.97	9.79
beautiful	song	11.86	11.33	4.64	10.32	10.41
significant	progress	10.87	10.45	4.75	10.24	10.03
amazing	experience	11.57	11.61	4.81	10.34	10.52
correct	answer	10.22	11.47	4.81	10.59	10.59
enormous	pressure	10.15	11.21	4.81	10.29	9.72
powerful	message	10.73	11.84	4.81	10.31	10.21
private	plane	11.51	11.19	4.91	10.69	10.38
single	parent	11.57	10.07	5.17	10.69	9.97
close	attention	10.91	11.71	5.25	10.34	8.79
main	course	10.58	10.88	5.46	10.59	8.9
recent	study	11.09	10.72	5.58	10.34	10.21
tough	love	11.89	11.72	5.61	10.1	9.69
early	age	11.72	11.62	5.7	10.59	9.69
low	income	10.1	10.61	5.91	10.52	10.1
social	network	11.61	10.88	5.95	10.45	9.31
supreme	leader	10.93	11.5	6.07	10.31	9.9
hot	seat	11.14	10.69	6.25	10	8.31
critical	condition	10.67	10.03	6.3	10.38	10.17
wrong	direction	10.98	10.65	6.8	10.41	10.31
popular	vote	10.82	11.43	6.88	10.34	9.24
regular	basis	10.29	10.06	6.89	10.21	9.28
common	ground	10.8	11.64	7.3	10.21	8.71
